season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
19,2025,74672,Pre-season,Pre-S,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
19,2025,76801,Qui Vive Premier League,QPL,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,71374,Topklasse,TK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
19,2025,71378,Topklasse Twenty20,TK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
19,2025,71399,Training Grade,TG,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,73940,Tweede Klasse,2e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
19,2025,75916,U11 HB,U11 HB,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,90325,U11 Indoor,U11-Indoor,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,75914,U13,U13,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,90326,U13 Indoor,U13-Indoor,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,75913,U15,U15,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
19,2025,75943,U17,U17,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
19,2025,90327,U9 Indoor,U9-Indoor,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,88968,VRA Friendlies,VRA-F,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,73942,Vierde Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
19,2025,82351,Vrouwen Hoofdklasse,VHK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
19,2025,84859,Vrouwen Slotdag T10,VST10,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,75993,Vrouwen T20,VT20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
19,2025,82349,Vrouwen Topklasse,VTK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
19,2025,89663,Wanderers CC Friendlies,WAN-F,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,88310,Youth Qui Vive Premier league U13,YQPL U13,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|GF
19,2025,92865,Youth Qui Vive Premier league U16,YQPL U16,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|QF|GF
19,2025,73943,Zami,Zami,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
19,2025,73944,Zomi,Zomi,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16
